,Address,Property Type,Price,Beds,Bath,Square Feet,Brokerages,Borough,Zipcode,Neighborhood,Longitude,Latitude
0,"2 E 55th St Unit 803New York, NY 10022",Condo ,315000.0,2,2.0,1400.0, Douglas Elliman  ,Manhattan,10022.0,Gramercy Park,-73.9744834,40.761255
1,"Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019",Condo ,195000000.0,7,10.0,17545.0, Serhant,Manhattan,10019.0,Chelsea,-73.9809909,40.7663935
2,"620 Sinclair AveStaten Island, NY 10312",House ,260000.0,4,2.0,2015.0, Sowae Corp,Staten Island,10312.0,South Shore,-74.1961086,40.5418051
3,"2 E 55th St Unit 908W33Manhattan, NY 10022",Condo ,69000.0,3,1.0,445.0, COMPASS,Manhattan,10022.0,Gramercy Park,-73.9746128,40.7613979
4,"5 E 64th StNew York, NY 10065",Townhouse ,55000000.0,7,2.5,14175.0, Sotheby's International Realty ,Manhattan,10065.0,Upper East Side,-73.9698561,40.7672235
5,"584 Park PlBrooklyn, NY 11238",House ,690000.0,5,2.0,4004.0, Sowae Corp,Brooklyn,11238.0,Central Brooklyn,-73.9587248,40.6743632
6,"157 W 126th St Unit 1BNew York, NY 10027",Condo ,899500.0,2,2.0,2184.207862, Douglas Elliman ,Manhattan,10027.0,Central Harlem,-73.946777,40.809448
7,"177 Benedict RdStaten Island, NY 10304",House ,16800000.0,8,16.0,33000.0, Connie Profaci Realty,Staten Island,10304.0,Stapleton,-74.1064235,40.5950017
8,"875 Morrison Ave Apt 3MBronx, NY 10473",Co-op ,265000.0,1,1.0,750.0, Pantiga Group Inc.,Bronx,10473.0,Southeast Bronx,-73.8740892,40.8215857
9,"1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",Co-op ,440000.0,2,1.0,978.0, CENTURY 21,Brooklyn,11230.0,Borough Park,-73.9696944,40.6157378
10,"800 Grand Concourse Apt 2JSBronx, NY 10451",Co-op ,375000.0,2,1.0,850.0, Engel & Volkers Americas,Bronx,10451.0,High Bridge,-73.9229829,40.8248699
11,"456 Van Name AveStaten Island, NY 10303",Townhouse ,689000.0,3,2.5,1162.0, RE MAX,Staten Island,10303.0,Port Richmond,-74.1553058,40.6249962
12,"34-41 85th St Unit 1DJackson Heights, NY 11372",Co-op ,259000.0,3,1.0,2184.207862, COMPASS,Queens,11372.0,West Queens,-73.8818757,40.7531191
13,"91-15 Lamont Ave Unit 6DElmhurst, NY 11373",Co-op ,430000.0,2,2.0,2184.207862, Jamie & Connie Real Estate Grp,Queens,11373.0,West Queens,-73.8745722,40.7438639
14,"61 Jane St Apt 6NNew York, NY 10014",Co-op ,895000.0,3,1.0,2184.207862, Corcoran,Manhattan,10014.0,Soho,-74.0058899,40.7382981
