,Address,Property Type, Price ,Beds,Bath, Square Feet ,Brokerages,Borough,Zipcode,Neighborhood,Neighborhood Safety Rating,Longitude,Latitude,Down Payment,Mortgage Rate,Years,Loan Amount,Loan Payment per month,Property Tax Per Month,Homeowner Insurance, Utility ,Total Payments,Reccomended Occupancy,Maximum Occupancy,Perception
0,"2 E 55th St Unit 803New York, NY 10022",Condo ,"$315,000.00 ",2,2,"1,400", Douglas Elliman  ,Manhattan,10022,Gramercy Park,A,-73.9744834,40.761255,"$63,000.00 ",6.75%,30,"$252,000.00 ","$1,634.47 ",$319.87 ,$65.63 ,"$1,000 ","$3,019.96 ",4,9,
1,"Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019",Condo ,"$195,000,000.00 ",7,10,"17,545", Serhant,Manhattan,10019,Chelsea,A,-73.9809909,40.7663935,"$39,000,000.00 ",6.75%,30,"$156,000,000.00 ","$1,011,813.03 ","$198,012.75 ","$40,625.00 ",$205 ,"$1,250,655.78 ",14,37,
2,"620 Sinclair AveStaten Island, NY 10312",House ,"$260,000.00 ",4,2,"2,015", Sowae Corp,Staten Island,10312,South Shore,A,-74.1961086,40.5418051,"$52,000.00 ",6.75%,30,"$208,000.00 ","$1,349.08 ",$264.02 ,$54.17 ,"$1,700 ","$3,367.27 ",8,13,
3,"2 E 55th St Unit 908W33Manhattan, NY 10022",Condo ,"$69,000.00 ",3,1,445, COMPASS,Manhattan,10022,Gramercy Park,A,-73.9746128,40.7613979,"$13,800.00 ",6.75%,30,"$55,200.00 ",$358.03 ,$70.07 ,$14.38 ,$600 ,"$1,042.47 ",6,4,
4,"5 E 64th StNew York, NY 10065",Townhouse ,"$55,000,000.00 ",7,2.5,"14,175", Sotheby's International Realty ,Manhattan,10065,Upper East Side,A,-73.9698561,40.7672235,"$11,000,000.00 ",6.75%,30,"$44,000,000.00 ","$285,383.16 ","$55,849.75 ","$11,458.33 ",$205 ,"$352,896.25 ",14,79,
5,"584 Park PlBrooklyn, NY 11238",House ,"$690,000.00 ",5,2,"4,004", Sowae Corp,Brooklyn,11238,Central Brooklyn,C,-73.9587248,40.6743632,"$138,000.00 ",6.75%,30,"$552,000.00 ","$3,580.26 ",$700.66 ,$143.75 ,$205 ,"$4,629.67 ",10,25,
6,"157 W 126th St Unit 1BNew York, NY 10027",Condo ,"$899,500.00 ",2,2,"2,184", Douglas Elliman ,Manhattan,10027,Central Harlem,C,-73.946777,40.809448,"$179,900.00 ",6.75%,30,"$719,600.00 ","$4,667.31 ",$913.40 ,$187.40 ,"$1,000 ","$6,768.11 ",4,14,
7,"177 Benedict RdStaten Island, NY 10304",House ,"$16,800,000.00 ",8,16,"33,000", Connie Profaci Realty,Staten Island,10304,Stapleton,D,-74.1064235,40.5950017,"$3,360,000.00 ",6.75%,30,"$13,440,000.00 ","$87,171.58 ","$17,059.56 ","$3,500.00 ",$600 ,"$108,331.14 ",16,46,
8,"875 Morrison Ave Apt 3MBronx, NY 10473",Co-op ,"$265,000.00 ",1,1,750, Pantiga Group Inc.,Bronx,10473,Southeast Bronx,D,-73.8740892,40.8215857,"$53,000.00 ",6.75%,30,"$212,000.00 ","$1,375.03 ",$269.09 ,$55.21 ,$205 ,"$1,904.33 ",2,6,
9,"1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",Co-op ,"$440,000.00 ",2,1,978, CENTURY 21,Brooklyn,11230,Borough Park,B,-73.9696944,40.6157378,"$88,000.00 ",6.75%,30,"$352,000.00 ","$2,283.07 ",$446.80 ,$91.67 ,"$1,000 ","$3,821.53 ",4,8,
